Request Status,Time from request creation to planned pickup,Proposed Pickup Walk Distance,Destination Lat,Destination Lng,Request Creation Month,Request Creation Day,Request Creation Hour,Request Creation Minute,Request Creation Day Of Week,Time from pickup to dropoff
Completed,4.14,72.16,42.326002954,-71.082605124,1,1,4,43,2,16.92
Completed,6.0,49.2,42.322582141,-71.109085232,1,1,21,53,2,14.88
Completed,6.0,49.2,42.329393093,-71.104067154,1,2,0,55,3,9.4
Completed,4.03,49.2,42.346798233,-71.09365683,1,3,0,4,4,13.27
Completed,10.94,75.44,42.326002954,-71.082605124,1,3,1,56,4,15.37
Completed,2.75,49.2,42.33312434,-71.102290861,1,3,19,0,4,12.77
Completed,11.82,49.2,42.344115781,-71.100348942,1,3,19,49,4,17.25
Completed,27.3,49.2,42.346798233,-71.09365683,1,3,20,18,4,21.52
Completed,26.04,49.2,42.32891843,-71.10191334,1,3,20,44,4,23.32
Completed,29.74,49.2,42.334282781,-71.10085655,1,3,21,16,4,18.08
Completed,7.18,85.28,42.332977117,-71.109850332,1,3,21,46,4,20.5
Completed,2.61,72.16,42.326002954,-71.082605124,1,4,4,26,5,13.25
Completed,24.86,557.6,42.323383322,-71.108993366,1,4,23,50,5,41.58
Completed,11.67,49.2,42.342459914,-71.101286039,1,5,0,1,6,28.95
Completed,1.39,49.2,42.331470166,-71.108713746,1,5,19,8,6,17.38
Completed,39.0,49.2,42.346915936,-71.093527414,1,5,22,5,6,10.08
Completed,36.21,49.2,42.319460612,-71.080917343,1,5,22,8,6,33.9
Completed,5.01,49.2,42.332527266,-71.1118697,1,5,22,17,6,13.13
Completed,8.27,82.0,42.326002954,-71.082605124,1,6,1,45,0,23.65
Completed,5.24,49.2,42.332765452,-71.110431366,1,6,4,13,0,11.12
Completed,5.17,49.2,42.332765452,-71.110431366,1,6,4,14,0,11.65
Completed,1.56,49.2,42.33162235,-71.099789701,1,6,19,1,0,14.25
Completed,13.34,49.2,42.34167905,-71.098176017,1,6,19,27,0,15.55
Completed,12.83,49.2,42.336154978,-71.077818051,1,6,19,28,0,15.22
Completed,3.08,49.2,42.341515986,-71.09830711,1,6,19,38,0,12.32
Completed,29.03,49.2,42.344248606,-71.099856757,1,6,19,43,0,29.0
Completed,37.83,49.2,42.327919767,-71.104661264,1,6,19,59,0,26.43
Completed,5.87,49.2,42.331102841,-71.104814149,1,6,20,7,0,18.27
Completed,11.58,49.2,42.333049737,-71.097487696,1,6,20,26,0,14.68
Completed,1.41,75.44,42.352171961,-71.12328954,1,6,20,31,0,37.98
Completed,27.11,505.12,42.331729919,-71.071365662,1,6,20,42,0,25.98
Completed,24.64,49.2,42.342459914,-71.101286039,1,6,20,44,0,23.65
Completed,38.54,49.2,42.331668947,-71.109336689,1,6,20,50,0,11.75
Completed,37.87,49.2,42.331424808,-71.103370786,1,6,20,51,0,20.07
Completed,14.21,49.2,42.32891843,-71.10191334,1,6,21,15,0,16.52
Completed,28.59,49.2,42.333049737,-71.097487696,1,6,21,25,0,19.9
